x,y,label
449.0,373.0,2
468.0,380.0,2
464.0,380.0,2
461.0,390.0,2
462.0,393.0,2
438.0,368.0,2
431.0,368.0,2
468.0,381.0,2
434.0,360.0,2
435.0,363.0,2
437.0,401.0,2
462.0,399.0,2
440.0,417.0,2
435.0,419.0,2
462.0,403.0,2
438.0,408.0,2
462.0,423.0,2
467.0,417.0,2
465.0,424.0,2
460.0,412.0,2
449.0,457.0,2
437.0,434.0,2
441.0,453.0,2
437.0,427.0,2
452.0,439.0,2
432.0,430.0,2
419.0,463.0,2
425.0,461.0,2
420.0,451.0,2
445.0,423.0,2
400.0,448.0,2
379.0,453.0,2
368.0,467.0,2
377.0,468.0,2
385.0,472.0,2
383.0,469.0,2
392.0,460.0,2
396.0,450.0,2
386.0,464.0,2
384.0,460.0,2
321.0,453.0,2
355.0,430.0,2
349.0,440.0,2
315.0,464.0,2
319.0,438.0,2
323.0,465.0,2
337.0,462.0,2
335.0,448.0,2
341.0,445.0,2
331.0,428.0,2
360.0,370.0,2
376.0,394.0,2
379.0,398.0,2
377.0,370.0,2
369.0,397.0,2
364.0,390.0,2
381.0,378.0,2
383.0,402.0,2
387.0,405.0,2
366.0,398.0,2
425.0,364.0,2
415.0,348.0,2
398.0,347.0,2
425.0,350.0,2
408.0,384.0,2
420.0,346.0,2
430.0,355.0,2
425.0,352.0,2
423.0,371.0,2
412.0,369.0,2
453.0,344.0,2
448.0,346.0,2
432.0,340.0,2
419.0,352.0,2
438.0,344.0,2
421.0,341.0,2
439.0,361.0,2
416.0,360.0,2
436.0,336.0,2
440.0,351.0,2
426.0,373.0,2
457.0,375.0,2
458.0,352.0,2
429.0,359.0,2
457.0,373.0,2
435.0,345.0,2
450.0,335.0,2
423.0,349.0,2
447.0,335.0,2
447.0,351.0,2
456.0,248.0,2
457.0,248.0,2
465.0,260.0,2
446.0,244.0,2
432.0,247.0,2
453.0,244.0,2
441.0,250.0,2
440.0,245.0,2
443.0,252.0,2
438.0,238.0,2
475.0,257.0,2
452.0,248.0,2
453.0,232.0,2
461.0,243.0,2
457.0,259.0,2
473.0,235.0,2
479.0,246.0,2
469.0,232.0,2
472.0,256.0,2
489.0,232.0,2
491.0,300.0,2
496.0,296.0,2
503.0,320.0,2
482.0,315.0,2
478.0,284.0,2
497.0,317.0,2
496.0,315.0,2
473.0,310.0,2
498.0,286.0,2
474.0,315.0,2
453.0,323.0,2
448.0,326.0,2
461.0,351.0,2
472.0,348.0,2
462.0,319.0,2
471.0,320.0,2
480.0,337.0,2
477.0,327.0,2
477.0,331.0,2
459.0,357.0,2
451.0,341.0,2
460.0,346.0,2
435.0,348.0,2
470.0,340.0,2
445.0,348.0,2
465.0,320.0,2
444.0,311.0,2
472.0,316.0,2
439.0,315.0,2
451.0,315.0,2
444.0,300.0,2
437.0,297.0,2
429.0,309.0,2
453.0,307.0,2
417.0,315.0,2
453.0,311.0,2
423.0,308.0,2
417.0,308.0,2
446.0,295.0,2
419.0,292.0,2
441.0,317.0,2
437.0,306.0,2
409.0,292.0,2
436.0,292.0,2
420.0,324.0,2
422.0,296.0,2
430.0,288.0,2
416.0,295.0,2
433.0,319.0,2
412.0,294.0,2
366.0,457.0,2
348.0,472.0,2
327.0,470.0,2
360.0,462.0,2
331.0,457.0,2
341.0,449.0,2
350.0,438.0,2
355.0,450.0,2
338.0,448.0,2
344.0,453.0,2
321.0,494.0,2
298.0,511.0,2
307.0,502.0,2
319.0,479.0,2
302.0,488.0,2
317.0,509.0,2
332.0,512.0,2
328.0,483.0,2
319.0,488.0,2
327.0,492.0,2
462.0,447.0,2
450.0,457.0,2
430.0,455.0,2
456.0,466.0,2
440.0,470.0,2
450.0,446.0,2
462.0,458.0,2
453.0,451.0,2
454.0,461.0,2
445.0,470.0,2
492.0,410.0,2
486.0,413.0,2
454.0,406.0,2
468.0,441.0,2
484.0,416.0,2
464.0,408.0,2
479.0,442.0,2
483.0,435.0,2
484.0,428.0,2
483.0,443.0,2
478.0,387.0,2
449.0,384.0,2
459.0,381.0,2
487.0,408.0,2
455.0,396.0,2
470.0,385.0,2
489.0,410.0,2
472.0,418.0,2
460.0,408.0,2
461.0,418.0,2
406.0,411.0,2
414.0,411.0,2
408.0,415.0,2
410.0,393.0,2
396.0,382.0,2
400.0,387.0,2
427.0,382.0,2
423.0,390.0,2
402.0,378.0,2
419.0,401.0,2
406.0,410.0,2
387.0,395.0,2
380.0,379.0,2
383.0,377.0,2
402.0,377.0,2
406.0,417.0,2
378.0,389.0,2
378.0,382.0,2
408.0,414.0,2
392.0,377.0,2
275.0,287.0,1
292.0,299.0,1
267.0,263.0,1
271.0,265.0,1
259.0,295.0,1
276.0,266.0,1
277.0,261.0,1
269.0,286.0,1
287.0,269.0,1
290.0,286.0,1
245.0,326.0,1
274.0,319.0,1
266.0,324.0,1
263.0,311.0,1
267.0,311.0,1
278.0,328.0,1
245.0,304.0,1
268.0,302.0,1
247.0,312.0,1
270.0,302.0,1
247.0,378.0,1
234.0,344.0,1
228.0,363.0,1
252.0,360.0,1
248.0,345.0,1
227.0,378.0,1
229.0,379.0,1
260.0,352.0,1
231.0,374.0,1
249.0,346.0,1
203.0,422.0,1
222.0,400.0,1
227.0,406.0,1
206.0,411.0,1
242.0,420.0,1
214.0,414.0,1
209.0,433.0,1
219.0,405.0,1
228.0,410.0,1
205.0,435.0,1
218.0,431.0,1
205.0,448.0,1
203.0,451.0,1
214.0,421.0,1
218.0,452.0,1
190.0,416.0,1
202.0,421.0,1
208.0,433.0,1
219.0,446.0,1
204.0,443.0,1
179.0,417.0,1
185.0,420.0,1
159.0,427.0,1
180.0,430.0,1
173.0,450.0,1
152.0,423.0,1
183.0,421.0,1
160.0,429.0,1
167.0,452.0,1
177.0,428.0,1
245.0,437.0,1
238.0,408.0,1
261.0,418.0,1
243.0,409.0,1
266.0,409.0,1
238.0,411.0,1
238.0,418.0,1
238.0,437.0,1
246.0,421.0,1
244.0,408.0,1
300.0,401.0,1
292.0,387.0,1
280.0,414.0,1
269.0,384.0,1
281.0,396.0,1
277.0,414.0,1
265.0,391.0,1
283.0,412.0,1
293.0,400.0,1
301.0,401.0,1
323.0,327.0,1
326.0,337.0,1
317.0,314.0,1
335.0,318.0,1
325.0,303.0,1
329.0,328.0,1
309.0,331.0,1
318.0,319.0,1
325.0,306.0,1
331.0,334.0,1
359.0,249.0,1
345.0,231.0,1
336.0,229.0,1
349.0,227.0,1
334.0,258.0,1
358.0,250.0,1
342.0,258.0,1
338.0,265.0,1
366.0,234.0,1
362.0,263.0,1
393.0,192.0,1
385.0,190.0,1
399.0,215.0,1
394.0,179.0,1
387.0,177.0,1
366.0,196.0,1
392.0,186.0,1
389.0,192.0,1
372.0,206.0,1
393.0,187.0,1
443.0,136.0,1
448.0,143.0,1
442.0,140.0,1
468.0,150.0,1
458.0,130.0,1
455.0,123.0,1
450.0,122.0,1
465.0,117.0,1
440.0,111.0,1
456.0,119.0,1
452.0,111.0,1
468.0,114.0,1
469.0,104.0,1
443.0,124.0,1
471.0,116.0,1
462.0,118.0,1
474.0,93.0,1
436.0,123.0,1
473.0,118.0,1
454.0,93.0,1
